train_csv: lgb_proceed_train_20200119_013827
lgb_loss: 0.500008367399496
lgb_loss: 0.4686007346337365
lgb_loss: 0.5244793589242772
lgb_loss: 0.4888361988235014
lgb_loss: 0.5000613036604651
lgb_loss: 0.500856318699122
lgb_loss: 0.4895916292832695
lgb_loss: 0.49876655443856144
lgb_loss: 0.503497643064245
lgb_loss: 0.47555743212770174
lgb_loss: 0.4998387738143184
lgb_loss: 0.4968012853600854
lgb_loss: 0.46751984873817176
lgb_loss: 0.49153582761972525
lgb_loss: 0.4904177741668505
lgb_loss: 0.531018150162406
fold_0_seed_average_loss: 0.4954617000572458
lgb_loss: 0.48624811635142995
lgb_loss: 0.5014861274587264
lgb_loss: 0.45795824145181974
lgb_loss: 0.4964674867370117
lgb_loss: 0.504394530248208
lgb_loss: 0.4861712192304506
lgb_loss: 0.4677740891902086
lgb_loss: 0.4722751669344323
lgb_loss: 0.47914471979774564
lgb_loss: 0.5062751288883495
lgb_loss: 0.48467261748726376
lgb_loss: 0.49195862924218237
lgb_loss: 0.5027623693008794
lgb_loss: 0.4763505633397992
lgb_loss: 0.484244870856803
lgb_loss: 0.5087577329041886
fold_1_seed_average_loss: 0.48793385058871863
lgb_loss: 0.48706384296058536
lgb_loss: 0.4968811789743721
lgb_loss: 0.4867163623066223
lgb_loss: 0.5106376021803781
lgb_loss: 0.5070456383016451
lgb_loss: 0.4979039195214555
lgb_loss: 0.5023564372369502
lgb_loss: 0.5081387111966837
lgb_loss: 0.5133400939385284
lgb_loss: 0.5017113025565353
lgb_loss: 0.47624541771307183
lgb_loss: 0.49624548480310515
lgb_loss: 0.5042062567531815
lgb_loss: 0.4942303379049907
lgb_loss: 0.49107478719581577
lgb_loss: 0.499672264099183
fold_2_seed_average_loss: 0.498341852352694
lgb_loss: 0.4959019985004829
lgb_loss: 0.4713856840539107
lgb_loss: 0.49074841104835776
lgb_loss: 0.5065516816587383
lgb_loss: 0.5230665975125907
lgb_loss: 0.5170043881241487
lgb_loss: 0.5103952652823975
lgb_loss: 0.5020085212881815
lgb_loss: 0.5085752074151404
lgb_loss: 0.5114212997700949
lgb_loss: 0.5020610806943926
lgb_loss: 0.4754025013293729
lgb_loss: 0.5374324006788976
lgb_loss: 0.4941071985279022
lgb_loss: 0.5020813754065896
lgb_loss: 0.5021649597727464
fold_3_seed_average_loss: 0.5031442856914966
seed_brending_loss: 0.5476813528392659
